"reading_id","node_name","temperature","humidity","light_intensity","timeposted"
"343","Node2","25.7","82.3","1348","2024-12-09 23:39:17"
"344","Node2","25.7","82.3","1367","2024-12-09 23:39:22"
"345","Node2","25.7","82.3","1366","2024-12-09 23:39:27"
"346","Node2","25.7","82.3","1381","2024-12-09 23:39:32"
"347","Node2","25.7","82.3","1399","2024-12-09 23:39:37"
"348","Node2","25.7","82.3","1378","2024-12-09 23:39:42"
"349","Node2","25.7","82.3","1378","2024-12-09 23:39:47"
"350","Node2","25.7","82.3","1417","2024-12-09 23:39:52"
"351","Node2","25.7","82.3","1375","2024-12-09 23:39:57"
"352","Node2","25.7","82.3","1331","2024-12-09 23:40:02"
"353","Node2","25.7","82.3","1355","2024-12-09 23:40:07"
"354","Node2","25.7","82.3","1355","2024-12-09 23:40:12"
"355","Node2","25.7","82.3","1355","2024-12-09 23:40:17"
"356","Node2","25.7","82.3","1369","2024-12-09 23:40:22"
"357","Node2","25.7","82.3","1372","2024-12-09 23:40:27"
"358","Node2","25.7","82.3","1351","2024-12-09 23:40:32"
"359","Node2","25.7","82.2","1367","2024-12-09 23:40:37"
"360","Node2","25.8","82.2","1358","2024-12-09 23:40:42"
"361","Node2","25.8","82.2","1358","2024-12-09 23:40:47"
"362","Node2","25.8","82.1","1374","2024-12-09 23:40:52"
"363","Node2","25.8","82.1","1383","2024-12-09 23:40:57"
"364","Node2","25.7","82.1","1367","2024-12-09 23:41:02"
"365","Node2","25.8","82.1","1379","2024-12-09 23:41:07"
"366","Node2","25.8","82.1","1373","2024-12-09 23:41:12"
"367","Node2","25.8","82.1","1373","2024-12-09 23:41:17"
